Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
35,0,Travel_Rarely,1479,Research & Development,10,3,Medical,4,Female,49,2,3,Healthcare Representative,2,Single,8461,17325,1.0193569817252828,False,13,3,2,0.0,9.125698933038109,2.8547161479166063,4,9,6.927751583844309,7.021609025500136,6.544080580411694
33,0,Travel_Rarely,242,Research & Development,1,2,Life Sciences,2,Male,81,2,1,Research Scientist,4,Married,3741,21681,1.0167090876003804,True,12,3,4,1.059077326399633,6.047983118733192,2.9814962748178817,3,6,4.82723738998527,0.963148898323217,3.1691395561950264
41,0,Travel_Rarely,1218,Research & Development,2,1,Medical,2,Female,93,4,2,Healthcare Representative,3,Divorced,6462,14430,4.884998182917131,False,20,4,2,2.6137536151351877,15.867993618285327,0.49567939270517997,3,12,10.69034251778954,7.62287450587286,8.553693163927749
44,0,Travel_Frequently,1068,Research & Development,2,1,Medical,2,Male,86,3,3,Manufacturing Director,3,Single,10813,19310,4.805961535305635,True,18,3,2,0.0,16.349021854517083,2.011649305921765,2,2,1.9606805424082678,1.9529470216241411,1.8243782062241458
29,1,Travel_Rarely,318,Research & Development,8,4,Other,2,Male,76,1,1,Laboratory Technician,1,Married,2279,4792,1.020604031257821,True,11,3,4,0.0024092083976410576,7.788237475995292,3.9615278070437756,2,7,6.626023027961749,0.045712912580600826,7.240618570459768
43,0,Travel_Frequently,790,Research & Development,8,2,Medical,1,Female,71,3,1,Laboratory Technician,4,Single,3445,16503,0.9150157029019116,False,13,3,3,0.0,11.832528011573048,3.130162754779147,3,12,9.52285710171297,4.614204023705305,8.06646818907163
59,1,Travel_Rarely,272,Research & Development,2,4,Life Sciences,4,Male,31,3,5,Research Director,2,Single,16775,25025,7.5970478435663225,True,12,3,4,0.0,29.428759832416095,2.1390314694808885,3,19,14.75592417470063,7.779500454398127,8.682845473755421
38,0,Travel_Rarely,333,Sales,10,2,Life Sciences,1,Female,101,3,2,Sales Executive,4,Married,5286,6633,1.0500533878212006,False,11,3,3,0.9821229771739319,10.31416021740052,1.0378590099658835,3,10,6.5152488881005235,0.9642788038346383,9.34255951772939
35,0,Travel_Rarely,665,Sales,7,1,Life Sciences,4,Male,76,3,1,Sales Representative,3,Married,2508,16875,0.8897864505634328,False,12,3,1,1.0412038149044838,1.3082185192523776,3.0913424817109068,3,1,0.02605565005223192,0.0,0.030358768819730698
44,0,Travel_Rarely,932,Research & Development,28,3,Technical Degree,4,Male,100,3,1,Research Scientist,4,Married,2137,4387,3.856939258148006,False,21,4,4,1.003645747192305,7.765423874861906,3.343031054292052,3,5,4.037290862953886,0.0,3.136389333567396
