Age,Department,EnvironmentSatisfaction,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,TrainingTimesLastYear,WorkLifeBalance,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
35,Research & Development,4,Healthcare Representative,2,8461,1.0193569817252828,False,13,2,2.8547161479166063,4,7.021609025500136,6.544080580411694,0
33,Research & Development,2,Research Scientist,4,3741,1.0167090876003804,True,12,4,2.9814962748178817,3,0.963148898323217,3.1691395561950264,0
41,Research & Development,2,Healthcare Representative,3,6462,4.884998182917131,False,20,2,0.4956793927051799,3,7.62287450587286,8.553693163927749,0
44,Research & Development,2,Manufacturing Director,3,10813,4.805961535305635,True,18,2,2.011649305921765,2,1.952947021624141,1.8243782062241456,0
29,Research & Development,2,Laboratory Technician,1,2279,1.020604031257821,True,11,4,3.961527807043776,2,0.0457129125806008,7.240618570459768,1
43,Research & Development,1,Laboratory Technician,4,3445,0.9150157029019116,False,13,3,3.130162754779147,3,4.614204023705305,8.06646818907163,0
59,Research & Development,4,Research Director,2,16775,7.597047843566322,True,12,4,2.1390314694808885,3,7.779500454398127,8.682845473755421,1
38,Sales,1,Sales Executive,4,5286,1.0500533878212006,False,11,3,1.0378590099658835,3,0.9642788038346384,9.34255951772939,0
35,Sales,4,Sales Representative,3,2508,0.8897864505634328,False,12,1,3.0913424817109068,3,0.0,0.0303587688197306,0
44,Research & Development,4,Research Scientist,4,2137,3.856939258148006,False,21,4,3.343031054292052,3,0.0,3.136389333567396,0
28,Sales,2,Sales Representative,2,2621,1.1697724957610107,False,14,3,3.0710111085033964,3,1.6110479191917113,1.8770734830398847,1
38,Research & Development,4,Manufacturing Director,4,6015,3.031849551291755,False,18,1,3.2537626905832564,1,0.9878571923971532,7.188261506075064,0
37,Research & Development,3,Manufacturing Director,2,4333,1.9005205986893516,True,12,4,2.153319787494611,2,0.0,1.0879021481589752,0
57,Research & Development,3,Research Director,1,16038,7.637833742660107,False,11,2,1.9985303872583704,3,0.03900478933671,0.0,0
41,Research & Development,3,Manager,4,15621,0.9425244622998052,False,11,4,2.9969574067355698,3,7.609724310514951,13.98711681499756,0
33,Sales,2,Sales Executive,4,9007,1.1160914886236033,False,15,4,2.262776351986121,3,2.660176684110431,6.831758393062157,0
44,Sales,4,Sales Executive,3,5079,7.383271569527285,False,16,3,3.000838991954909,3,0.0,0.9886096411982964,0
18,Sales,2,Sales Representative,4,1643,1.164859833990559,True,13,3,1.8842091847303877,4,0.0,0.0,1
22,Research & Development,4,Manufacturing Director,4,4380,5.634748539858641,False,23,1,1.9924785083272196,1,1.936369085795307,1.9048552601285187,0
29,Research & Development,4,Research Scientist,4,2499,0.9575599081911578,True,23,2,3.2631948341602053,2,1.246310464676419,0.044782996457383,1
29,Research & Development,2,Manufacturing Director,4,5054,1.0061894646118097,True,14,3,1.894925809593829,2,0.8881145940944687,2.0675563084028683,0
32,Research & Development,4,Research Scientist,2,2984,5.120220125029851,False,14,4,1.9204851489264985,2,0.869796604969347,7.015387182931642,0
39,Research & Development,1,Manufacturing Director,1,5358,1.0668553689652114,False,24,4,3.0923315403488862,3,7.027708731991328,8.937729105843168,0
56,Research & Development,4,Manager,3,17159,3.1921942275462314,False,18,2,4.5040520434217015,3,4.165881116236698,6.292436701117476,0
29,Research & Development,1,Research Scientist,4,3691,1.0664268653235396,False,14,1,4.7282587877367375,3,0.964456539193911,2.0452760591653822,0
43,Research & Development,4,Laboratory Technician,1,2661,0.0111987450527928,True,10,3,4.096201846347343,3,7.602247838872011,8.484351216615792,0
22,Research & Development,4,Research Scientist,3,3099,1.0658536467169533,False,17,1,3.948081729727279,4,0.7842490685646742,0.0,0
30,Sales,4,Sales Executive,3,5343,7.793481677523115,False,15,3,1.9694027339094973,2,2.1495302230997155,1.751193172111022,0
29,Sales,2,Sales Executive,4,7479,0.9022297752886445,False,23,4,2.9422454134689477,2,1.0474481006374707,8.876181424274403,1
54,Sales,4,Sales Executive,1,7952,6.333782589477209,False,21,4,1.995483835709018,4,7.376371847847289,9.97494392556273,0
