iter	Passed	Remaining
0	205	20352
1	245	12028
2	300	9720
3	332	7979
4	364	6917
5	415	6513
6	460	6119
7	500	5754
8	540	5464
9	584	5260
10	631	5113
11	682	5002
12	723	4840
13	775	4764
14	830	4705
15	883	4640
16	932	4552
17	987	4499
18	1038	4425
19	1088	4352
20	1117	4205
21	1144	4058
22	1170	3920
23	1196	3790
24	1224	3674
25	1251	3561
26	1279	3459
27	1319	3393
28	1349	3303
29	1376	3211
30	1403	3124
31	1431	3042
32	1460	2965
33	1489	2891
34	1537	2855
35	1589	2826
36	1635	2785
37	1685	2749
38	1738	2719
39	1789	2684
40	1837	2644
41	1894	2616
42	1952	2587
43	2011	2560
44	2072	2532
45	2134	2505
46	2200	2480
47	2248	2435
48	2295	2388
49	2338	2338
50	2390	2296
51	2450	2261
52	2507	2223
53	2562	2183
54	2609	2135
55	2669	2097
56	2730	2059
57	2787	2018
58	2847	1978
59	2890	1927
60	2943	1882
61	2993	1834
62	3045	1788
63	3102	1745
64	3160	1701
65	3219	1658
66	3279	1615
67	3334	1569
68	3394	1525
69	3453	1480
70	3491	1426
71	3539	1376
72	3590	1327
73	3648	1281
74	3701	1233
75	3759	1187
76	3805	1136
77	3859	1088
78	3917	1041
79	3972	993
80	4031	945
81	4093	898
82	4153	850
83	4212	802
84	4271	753
85	4332	705
86	4393	656
87	4448	606
88	4512	557
89	4564	507
90	4613	456
91	4673	406
92	4739	356
93	4770	304
94	4804	252
95	4850	202
96	4900	151
97	4964	101
98	5022	50
99	5074	0
